"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"P32004","L1CAM","Neural cell adhesion molecule L1",2.87170946098086e-10,1.16079759042666,0.349434893612896,1.23716833215882e-09,8.90757120517767,"Upregulated"
"P32119","PRDX2","Peroxiredoxin-2",0.257771043008303,0.0552134636186352,0.0166209087137112,0.315990716602567,0.500325676202803,"Unchanged"
"P32121","ARRB2","Beta-arrestin-2",0.367435062220432,-0.0694193222795851,-0.02089729828482,0.430736374810449,0.365788451403383,"Unchanged"
"P32189","GK","Glycerol kinase",0.9944062374595,-0.000531991465310355,-0.000160145388495668,0.995128077062766,0.00212102017688796,"Unchanged"
"P32322","PYCR1","Pyrroline-5-carboxylate reductase 1, mitochondrial",0.919089605777734,0.0135250765327539,0.00407145373000994,0.937727154029888,0.0279235078219918,"Unchanged"
"P32418-2","SLC8A1","Isoform 3 of Sodium/calcium exchanger 1",0.0834763476205064,0.204409145427971,0.0615332841618602,0.116031954859478,0.93542239087644,"Unchanged"
"P32418-3","SLC8A1","Isoform 7 of Sodium/calcium exchanger 1",0.00522882039781141,0.457071166888439,0.137592131386558,0.00922977183152729,2.03480903500155,"Unchanged"
"P32418-5","SLC8A1","Isoform 5 of Sodium/calcium exchanger 1",4.26617667781925e-10,0.619178253749761,0.186391227041522,1.79418888591874e-09,8.74613183788388,"Unchanged"
"P32455","GBP1","Guanylate-binding protein 1",1.12410318863021e-05,-0.586499295256216,-0.176553880307907,2.88582617475905e-05,4.5397298318068,"Unchanged"
"P32456","GBP2","Guanylate-binding protein 2",0.00032317478323341,0.527392955638216,0.158761099148987,0.000690437175505292,3.16087583275903,"Unchanged"
"P32856","STX2","Syntaxin-2",0.629109718801901,0.0581378668079076,0.0175012417930975,0.686582218445457,0.163307448406653,"Unchanged"
"P32929","CTH","Cystathionine gamma-lyase",0.96752515278581,-0.00450481326925001,-0.00135608391890936,0.97559258018616,0.0107315113477096,"Unchanged"
"P32969","RPL9","Large ribosomal subunit protein uL6",0.00408263855061004,-0.275659890267063,-0.0829818955718274,0.00734001761329029,2.13430289793875,"Unchanged"
"P33121","ACSL1","Long-chain-fatty-acid--CoA ligase 1",2.46556934232784e-09,0.458520301819699,0.138028364468631,9.52169912174097e-09,8.02128554601128,"Unchanged"
"P33151","CDH5","Cadherin-5",0.434583461509098,0.0764191734593505,0.0230044634551133,0.499680367002871,0.301307714135204,"Unchanged"
"P33176","KIF5B","Kinesin-1 heavy chain",0.000228695548105709,-0.282877173671412,-0.0851545143637445,0.000499018174451615,3.30188363690104,"Unchanged"
