"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"Q9BS26","ERP44","Endoplasmic reticulum resident protein 44",0.167542842499486,-0.0671753360398597,-0.0202217911168055,0.229551344334915,0.63912015950643,"Unchanged"
"Q9BS40","LXN","Latexin",0.464928479092689,-0.0764944940975214,-0.0230271372264953,0.54530406778729,0.263361262608457,"Unchanged"
"Q9BS92","NIPSNAP3B","Protein NipSnap homolog 3B",9.96191100816669e-07,0.435865133764072,0.131208479327079,4.9722992454231e-06,5.30344274231414,"Unchanged"
"Q9BSA4","TTYH2","Protein tweety homolog 2",5.22957434871183e-17,-1.00396178299023,-0.302222611180353,4.09630181655348e-15,14.3876080519261,"Downregulated"
"Q9BSD7","NTPCR","Cancer-related nucleoside-triphosphatase",1.462277058026e-08,-0.379684274642436,-0.114296355549294,1.10158205037959e-07,6.95798314926221,"Unchanged"
"Q9BSF0","C2orf88","Small membrane A-kinase anchor protein",0.000130917380250432,-0.482830191462041,-0.145346370442257,0.000399100483155609,3.39891774645379,"Unchanged"
"Q9BSF4","TIMM29","Mitochondrial import inner membrane translocase subunit Tim29",0.0150749711389347,0.141734768830014,0.0426664168463346,0.0274826173130592,1.5609419095131,"Unchanged"
"Q9BSH4","TACO1","Translational activator of cytochrome c oxidase 1",0.373509054064157,0.0551186704985343,0.0165923731411782,0.453530846765741,0.343393169189215,"Unchanged"
"Q9BSH5","HDHD3","Haloacid dehalogenase-like hydrolase domain-containing protein 3",5.86870264583813e-06,0.481519654575324,0.144951859528932,2.43399322128533e-05,4.61368063562217,"Unchanged"
"Q9BSJ2","TUBGCP2","Gamma-tubulin complex component 2",0.0313382682189368,-0.137555447361134,-0.0414083157226791,0.0524434772598037,1.28030852017268,"Unchanged"
"Q9BSJ8","ESYT1","Extended synaptotagmin-1",2.8313726676193e-06,0.274338196270148,0.0825840260336671,1.26076562001937e-05,4.89936564252541,"Unchanged"
"Q9BSL1","UBAC1","Ubiquitin-associated domain-containing protein 1",0.545882952024689,-0.0475452493309989,-0.0143125461999535,0.619284264039858,0.208109955235839,"Unchanged"
"Q9BSQ5","CCM2","Cerebral cavernous malformations 2 protein",0.803026913066892,0.0211801414366297,0.00637585788483115,0.843918968100334,0.073699251711262,"Unchanged"
"Q9BSR8","YIPF4","Protein YIPF4",0.0475131018247962,-0.182030701478874,-0.054796701276897,0.0759702646435445,1.11935636072181,"Unchanged"
"Q9BST9","RTKN","Rhotekin",7.72152807780851e-12,-0.586727894826239,-0.176622695635479,1.35699047560936e-10,9.86742320053836,"Unchanged"
